id,age,city,channel,score,flag,region,sku,qty,price,day,note
0,18,beijing,web,0.00,true,beijing,SKU-000,1,9.90,2026-01-01,ok
1,19,shanghai,app,0.33,false,beijing,SKU-001,2,10.90,2026-01-02,ok
2,20,shenzhen,retail,0.67,true,shanghai,SKU-002,3,11.90,2026-01-03,ok
3,21,guangzhou,web,1.00,false,shanghai,SKU-003,4,12.90,2026-01-04,ok
4,22,chengdu,app,1.33,true,shenzhen,SKU-004,5,13.90,2026-01-05,ok
5,23,hangzhou,retail,1.67,false,shenzhen,SKU-005,6,14.90,2026-01-06,ok
6,24,beijing,web,2.00,true,guangzhou,SKU-006,7,15.90,2026-01-07,ok
7,25,shanghai,app,2.33,false,guangzhou,SKU-007,8,16.90,2026-01-08,ok
8,26,shenzhen,retail,2.67,true,chengdu,SKU-008,1,17.90,2026-01-09,ok
9,27,guangzhou,web,3.00,false,chengdu,SKU-009,2,18.90,2026-01-10,ok
10,28,chengdu,app,3.33,true,hangzhou,SKU-010,3,19.90,2026-01-11,ok
11,29,hangzhou,retail,3.67,false,hangzhou,SKU-011,4,20.90,2026-01-12,ok
12,30,beijing,web,4.00,true,beijing,SKU-012,5,21.90,2026-01-13,ok
13,31,shanghai,app,4.33,false,beijing,SKU-013,6,22.90,2026-01-14,ok
14,32,shenzhen,retail,4.67,true,shanghai,SKU-014,7,23.90,2026-01-15,ok
15,33,guangzhou,web,5.00,false,shanghai,SKU-015,8,24.90,2026-01-16,ok
16,34,chengdu,app,5.33,true,shenzhen,SKU-016,1,25.90,2026-01-17,ok
17,35,hangzhou,retail,5.67,false,shenzhen,SKU-017,2,26.90,2026-01-18,ok
18,36,beijing,web,6.00,true,guangzhou,SKU-018,3,27.90,2026-01-19,ok
19,37,shanghai,app,6.33,false,guangzhou,SKU-019,4,28.90,2026-01-20,ok
20,38,shenzhen,retail,6.67,true,chengdu,SKU-020,5,9.90,2026-01-21,ok
21,39,guangzhou,web,7.00,false,chengdu,SKU-021,6,10.90,2026-01-22,ok
22,40,chengdu,app,7.33,true,hangzhou,SKU-022,7,11.90,2026-01-23,ok
23,41,hangzhou,retail,7.67,false,hangzhou,SKU-023,8,12.90,2026-01-24,ok
